,PINCP,AGEP,RAC1P,MAR,SCHL,COW,OCCP,RELP,SEX,RELP_category
1,0,18-40,1,5,4,2.0,2752.0,17,0,Institutional Residents
3,0,18-40,1,5,4,1.0,2006.0,17,1,Institutional Residents
5,0,80-100,1,5,7,2.0,2205.0,17,1,Institutional Residents
6,1,18-40,1,5,7,1.0,4230.0,17,0,Institutional Residents
7,0,18-40,0,5,4,1.0,5860.0,17,1,Institutional Residents
9,0,18-40,1,5,3,2.0,4251.0,17,0,Institutional Residents
14,0,18-40,1,5,4,1.0,9600.0,17,1,Institutional Residents
15,0,18-40,1,5,3,1.0,2633.0,17,0,Institutional Residents
16,0,40-60,0,1,3,1.0,9640.0,17,1,Institutional Residents
17,0,18-40,1,5,4,1.0,4622.0,17,0,Institutional Residents
18,0,18-40,1,5,4,1.0,9645.0,17,1,Institutional Residents
19,0,40-60,1,1,3,1.0,6515.0,16,1,Institutional Residents
21,0,18-40,1,5,4,1.0,5120.0,17,1,Institutional Residents
22,1,18-40,1,3,3,1.0,6720.0,16,0,Institutional Residents
28,0,18-40,0,5,4,1.0,4000.0,17,1,Institutional Residents
29,0,18-40,1,5,3,1.0,4150.0,17,0,Institutional Residents
35,0,18-40,1,5,3,1.0,9645.0,17,1,Institutional Residents
36,0,18-40,1,5,4,1.0,4622.0,17,0,Institutional Residents
42,0,40-60,0,3,3,3.0,4220.0,16,1,Institutional Residents
46,0,18-40,1,5,4,1.0,4622.0,17,0,Institutional Residents
50,0,18-40,1,5,4,2.0,4640.0,17,1,Institutional Residents
52,0,18-40,1,5,4,1.0,1970.0,17,0,Institutional Residents
54,0,18-40,1,5,4,1.0,9365.0,17,1,Institutional Residents
56,0,18-40,1,5,4,1.0,4020.0,17,0,Institutional Residents
57,0,40-60,0,3,6,1.0,4700.0,16,1,Institutional Residents
68,0,18-40,0,5,3,1.0,8740.0,16,1,Institutional Residents
70,0,40-60,1,3,3,4.0,4251.0,16,1,Institutional Residents
72,0,18-40,0,5,4,1.0,5300.0,17,0,Institutional Residents
73,0,18-40,0,5,4,3.0,5860.0,17,1,Institutional Residents
74,0,18-40,1,5,3,1.0,6200.0,17,1,Institutional Residents
75,0,18-40,1,5,3,1.0,4700.0,17,0,Institutional Residents
77,0,40-60,1,5,4,6.0,9610.0,16,1,Institutional Residents
78,0,18-40,0,5,3,4.0,9620.0,16,1,Institutional Residents
80,0,18-40,1,5,4,2.0,5850.0,17,1,Institutional Residents
81,0,18-40,1,5,6,1.0,5740.0,17,1,Institutional Residents
82,0,18-40,1,5,4,3.0,3603.0,17,1,Institutional Residents
83,0,40-60,0,1,3,1.0,9640.0,17,1,Institutional Residents
90,0,18-40,0,5,6,1.0,8990.0,17,1,Institutional Residents
91,0,40-60,1,1,2,1.0,7750.0,16,1,Institutional Residents
98,0,18-40,0,5,4,1.0,4010.0,17,0,Institutional Residents
107,0,18-40,1,5,4,1.0,4020.0,17,0,Institutional Residents
108,1,18-40,1,5,4,1.0,4760.0,17,0,Institutional Residents
111,0,18-40,1,5,4,7.0,9620.0,17,1,Institutional Residents
118,0,18-40,1,5,3,1.0,4720.0,17,1,Institutional Residents
121,0,18-40,1,5,4,1.0,9300.0,17,1,Institutional Residents
129,0,18-40,0,5,4,2.0,4251.0,17,0,Institutional Residents
130,0,18-40,1,5,4,1.0,4150.0,17,0,Institutional Residents
132,0,40-60,0,1,3,1.0,9640.0,17,1,Institutional Residents
135,0,18-40,0,5,4,1.0,8740.0,16,0,Institutional Residents
142,1,18-40,1,5,7,1.0,4230.0,17,0,Institutional Residents
146,0,18-40,1,5,4,1.0,4110.0,17,1,Institutional Residents
147,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
149,0,18-40,0,5,4,4.0,5320.0,17,0,Institutional Residents
151,0,18-40,1,5,2,1.0,6260.0,16,1,Institutional Residents
152,0,18-40,1,5,4,1.0,4120.0,17,0,Institutional Residents
154,0,18-40,1,5,4,4.0,2180.0,16,1,Institutional Residents
164,0,18-40,1,5,4,2.0,2205.0,17,1,Institutional Residents
170,0,18-40,0,5,4,1.0,4600.0,17,0,Institutional Residents
172,0,18-40,1,5,3,1.0,9610.0,17,1,Institutional Residents
173,0,40-60,0,5,4,4.0,2350.0,16,1,Institutional Residents
174,0,40-60,1,5,0,2.0,9620.0,17,1,Institutional Residents
175,0,18-40,1,5,4,1.0,3602.0,17,0,Institutional Residents
178,0,40-60,0,5,4,2.0,9645.0,17,1,Institutional Residents
180,0,18-40,1,5,3,1.0,9620.0,16,1,Institutional Residents
182,0,18-40,1,5,3,1.0,4020.0,17,1,Institutional Residents
188,0,18-40,1,5,4,4.0,2545.0,17,0,Institutional Residents
189,0,18-40,1,5,4,4.0,4020.0,17,1,Institutional Residents
190,0,40-60,1,5,3,2.0,4220.0,17,0,Institutional Residents
192,0,60-80,1,3,3,1.0,7750.0,16,1,Institutional Residents
193,0,18-40,1,5,3,1.0,9600.0,17,1,Institutional Residents
208,0,18-40,0,1,3,1.0,7200.0,16,1,Institutional Residents
210,0,18-40,1,5,3,2.0,2545.0,17,1,Institutional Residents
212,0,40-60,1,1,4,1.0,4000.0,17,1,Institutional Residents
218,0,18-40,0,4,3,1.0,9620.0,16,1,Institutional Residents
222,0,18-40,1,5,4,5.0,3605.0,16,1,Institutional Residents
226,0,18-40,0,5,4,1.0,5300.0,17,0,Institutional Residents
227,0,40-60,1,4,4,1.0,8030.0,16,1,Institutional Residents
228,0,18-40,1,5,3,1.0,2633.0,17,0,Institutional Residents
231,0,18-40,0,5,4,6.0,4220.0,17,1,Institutional Residents
232,0,40-60,1,1,4,2.0,5940.0,17,1,Institutional Residents
233,0,18-40,1,5,4,1.0,4230.0,17,1,Institutional Residents
240,0,18-40,1,5,4,1.0,4600.0,17,0,Institutional Residents
241,0,40-60,1,3,4,1.0,6355.0,17,1,Institutional Residents
242,0,18-40,1,1,3,1.0,2770.0,17,0,Institutional Residents
247,0,18-40,0,5,3,1.0,4720.0,17,0,Institutional Residents
248,0,18-40,1,5,4,4.0,1050.0,17,0,Institutional Residents
249,0,18-40,1,5,3,1.0,7700.0,17,1,Institutional Residents
250,0,40-60,0,5,4,3.0,2350.0,16,1,Institutional Residents
253,0,18-40,1,1,3,1.0,4251.0,16,1,Institutional Residents
258,0,18-40,0,5,4,1.0,9620.0,16,1,Institutional Residents
259,0,18-40,1,5,4,1.0,1970.0,17,0,Institutional Residents
269,0,40-60,1,1,3,1.0,4020.0,16,0,Institutional Residents
276,0,40-60,0,1,5,1.0,6442.0,16,1,Institutional Residents
283,0,18-40,0,5,4,2.0,4220.0,17,0,Institutional Residents
284,0,18-40,1,5,4,1.0,4030.0,17,0,Institutional Residents
287,0,18-40,0,5,5,1.0,5400.0,17,0,Institutional Residents
289,0,18-40,1,5,4,1.0,1970.0,17,0,Institutional Residents
292,0,18-40,1,5,4,1.0,5240.0,17,1,Institutional Residents
299,0,18-40,0,5,4,1.0,7340.0,17,0,Institutional Residents
301,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
313,0,18-40,1,5,4,4.0,2205.0,17,0,Institutional Residents
314,0,18-40,0,5,4,4.0,4622.0,17,0,Institutional Residents
320,0,18-40,1,1,2,6.0,440.0,16,1,Institutional Residents
322,0,18-40,1,1,3,4.0,4220.0,16,1,Institutional Residents
326,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
327,0,18-40,1,5,3,2.0,2545.0,17,1,Institutional Residents
331,0,40-60,1,5,3,4.0,4340.0,16,1,Institutional Residents
333,0,40-60,1,1,4,2.0,5940.0,17,1,Institutional Residents
334,0,40-60,1,1,3,1.0,440.0,17,1,Institutional Residents
338,0,18-40,0,5,4,1.0,3603.0,17,0,Institutional Residents
339,0,18-40,1,1,3,6.0,4020.0,16,1,Institutional Residents
345,0,18-40,1,5,4,2.0,2350.0,17,1,Institutional Residents
346,0,18-40,1,5,4,1.0,4055.0,17,1,Institutional Residents
