,PINCP,AGEP,RAC1P,MAR,SCHL,COW,OCCP,RELP,SEX,RELP_category
1,0,18-40,1,5,4,1.0,4220.0,17,0,Institutional Residents
6,0,18-40,1,5,5,1.0,7010.0,17,1,Institutional Residents
10,0,60-80,1,3,4,1.0,4760.0,16,0,Institutional Residents
12,1,18-40,0,5,3,1.0,4020.0,16,1,Institutional Residents
13,0,60-80,1,1,6,3.0,2320.0,16,1,Institutional Residents
17,0,18-40,1,5,4,1.0,2002.0,17,0,Institutional Residents
42,0,18-40,1,5,3,1.0,4150.0,17,0,Institutional Residents
43,0,18-40,0,5,3,1.0,4760.0,17,0,Institutional Residents
47,0,18-40,1,5,4,1.0,230.0,17,1,Institutional Residents
50,0,18-40,1,5,4,2.0,7800.0,17,0,Institutional Residents
52,0,18-40,1,5,5,1.0,4640.0,17,0,Institutional Residents
58,0,18-40,1,5,4,2.0,5400.0,17,0,Institutional Residents
62,0,18-40,1,5,4,3.0,1050.0,17,1,Institutional Residents
63,0,18-40,1,5,4,2.0,2350.0,17,0,Institutional Residents
64,0,18-40,1,4,3,1.0,8800.0,17,0,Institutional Residents
66,0,60-80,1,5,7,2.0,2040.0,17,1,Institutional Residents
72,0,18-40,1,5,4,2.0,726.0,17,0,Institutional Residents
74,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
76,0,18-40,1,5,4,2.0,4640.0,17,1,Institutional Residents
78,0,18-40,0,5,3,1.0,6260.0,16,1,Institutional Residents
79,0,40-60,1,5,3,2.0,8990.0,17,0,Institutional Residents
80,0,18-40,1,5,4,2.0,5860.0,17,0,Institutional Residents
86,1,40-60,1,1,3,1.0,7330.0,17,1,Institutional Residents
89,0,18-40,1,5,4,1.0,5120.0,17,0,Institutional Residents
95,0,18-40,1,5,3,1.0,2360.0,17,0,Institutional Residents
97,0,18-40,1,5,3,1.0,4740.0,17,0,Institutional Residents
108,0,18-40,1,5,4,1.0,9620.0,17,0,Institutional Residents
116,0,40-60,1,5,4,1.0,6260.0,16,1,Institutional Residents
117,0,18-40,1,5,4,1.0,8225.0,16,1,Institutional Residents
118,0,18-40,1,5,3,1.0,4720.0,17,0,Institutional Residents
122,0,18-40,0,5,3,1.0,5610.0,17,0,Institutional Residents
124,0,18-40,1,5,4,1.0,4110.0,17,0,Institutional Residents
128,0,18-40,1,5,6,1.0,4000.0,17,1,Institutional Residents
129,0,18-40,1,5,7,2.0,2040.0,17,1,Institutional Residents
135,0,18-40,1,5,4,1.0,4710.0,17,0,Institutional Residents
136,0,18-40,1,1,3,5.0,9825.0,17,1,Institutional Residents
145,0,18-40,1,5,3,3.0,3960.0,17,0,Institutional Residents
153,0,18-40,1,5,4,2.0,4640.0,17,1,Institutional Residents
156,0,40-60,1,3,3,1.0,8800.0,16,1,Institutional Residents
164,0,18-40,1,5,4,1.0,6050.0,17,1,Institutional Residents
167,0,18-40,1,5,3,1.0,4622.0,17,0,Institutional Residents
169,0,18-40,1,5,4,1.0,230.0,17,1,Institutional Residents
178,0,18-40,0,5,4,2.0,110.0,17,1,Institutional Residents
179,0,18-40,1,5,4,1.0,4600.0,17,0,Institutional Residents
