,PINCP,AGEP,RAC1P,MAR,SCHL,COW,OCCP,RELP,SEX,RELP_category
1,0,18-40,1,3,4,1.0,6200.0,16,1,Institutional Residents
4,0,18-40,1,5,4,1.0,5860.0,17,0,Institutional Residents
5,0,18-40,1,5,4,1.0,4110.0,17,1,Institutional Residents
6,0,18-40,1,5,4,1.0,3421.0,17,0,Institutional Residents
7,0,18-40,1,5,4,5.0,9825.0,17,1,Institutional Residents
8,0,18-40,1,1,3,1.0,4010.0,16,1,Institutional Residents
11,0,18-40,1,5,4,2.0,4220.0,17,1,Institutional Residents
14,0,18-40,1,1,5,1.0,1970.0,17,1,Institutional Residents
15,0,18-40,1,5,4,5.0,9825.0,17,1,Institutional Residents
16,0,40-60,1,5,2,1.0,8710.0,17,0,Institutional Residents
17,0,18-40,1,5,4,1.0,4840.0,17,1,Institutional Residents
20,0,18-40,0,5,4,1.0,4055.0,17,1,Institutional Residents
21,0,18-40,1,1,4,1.0,2300.0,17,0,Institutional Residents
22,0,18-40,0,5,4,1.0,3603.0,17,0,Institutional Residents
23,0,18-40,1,5,4,1.0,6260.0,16,1,Institutional Residents
24,0,18-40,0,1,4,1.0,4220.0,17,1,Institutional Residents
26,0,18-40,1,5,6,1.0,2001.0,17,0,Institutional Residents
29,0,18-40,1,5,4,1.0,3960.0,17,0,Institutional Residents
30,0,18-40,1,1,5,1.0,4700.0,17,1,Institutional Residents
33,0,18-40,1,5,2,1.0,6200.0,16,1,Institutional Residents
34,1,18-40,1,3,6,1.0,650.0,17,1,Institutional Residents
35,0,18-40,0,5,4,1.0,3603.0,17,0,Institutional Residents
36,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
39,0,60-80,1,1,3,1.0,9620.0,17,1,Institutional Residents
40,0,60-80,0,1,3,1.0,4020.0,17,1,Institutional Residents
41,0,18-40,1,5,4,1.0,3421.0,17,0,Institutional Residents
42,0,60-80,1,3,3,1.0,8710.0,17,0,Institutional Residents
44,0,18-40,1,5,4,4.0,1108.0,17,0,Institutional Residents
46,0,60-80,1,5,7,2.0,2040.0,17,1,Institutional Residents
47,0,18-40,1,5,4,1.0,4920.0,17,1,Institutional Residents
48,0,18-40,1,5,3,2.0,8740.0,16,1,Institutional Residents
49,0,18-40,1,3,3,1.0,9620.0,16,1,Institutional Residents
53,0,18-40,1,5,3,1.0,4010.0,16,0,Institutional Residents
54,0,18-40,0,5,4,1.0,2600.0,17,1,Institutional Residents
55,0,18-40,1,1,6,1.0,5240.0,17,0,Institutional Residents
56,0,60-80,1,5,4,4.0,7750.0,17,1,Institutional Residents
62,0,18-40,1,5,4,2.0,2205.0,17,1,Institutional Residents
67,0,18-40,1,5,4,1.0,6800.0,17,1,Institutional Residents
68,0,18-40,1,5,4,1.0,6305.0,17,1,Institutional Residents
69,0,60-80,1,3,3,1.0,8710.0,17,0,Institutional Residents
70,0,18-40,1,5,3,1.0,8710.0,16,1,Institutional Residents
71,0,18-40,1,5,6,5.0,6835.0,17,1,Institutional Residents
75,0,18-40,1,5,4,1.0,9620.0,17,1,Institutional Residents
80,0,40-60,1,4,4,6.0,6355.0,17,1,Institutional Residents
81,0,18-40,0,5,6,4.0,2205.0,17,1,Institutional Residents
82,0,18-40,1,5,4,1.0,5330.0,17,1,Institutional Residents
83,0,18-40,1,5,6,4.0,2545.0,17,1,Institutional Residents
84,0,18-40,1,5,6,1.0,2002.0,17,0,Institutional Residents
85,0,40-60,1,3,6,1.0,4840.0,16,1,Institutional Residents
86,0,18-40,1,5,4,1.0,4435.0,17,0,Institutional Residents
87,0,18-40,1,5,4,1.0,4130.0,17,1,Institutional Residents
88,0,60-80,1,5,0,1.0,8710.0,17,0,Institutional Residents
89,0,18-40,1,4,3,1.0,4110.0,16,0,Institutional Residents
90,0,60-80,1,3,3,1.0,8710.0,17,0,Institutional Residents
91,0,18-40,1,5,4,1.0,2440.0,17,1,Institutional Residents
93,0,60-80,1,3,4,1.0,5240.0,16,0,Institutional Residents
98,0,18-40,1,5,4,2.0,6355.0,17,1,Institutional Residents
105,0,18-40,1,5,4,1.0,4840.0,17,1,Institutional Residents
110,0,40-60,1,3,6,1.0,4840.0,16,1,Institutional Residents
111,0,18-40,1,1,7,1.0,9130.0,17,1,Institutional Residents
112,0,40-60,1,1,4,1.0,5610.0,16,0,Institutional Residents
115,0,18-40,0,1,7,4.0,1530.0,17,0,Institutional Residents
125,0,18-40,1,5,3,5.0,9830.0,17,1,Institutional Residents
126,0,18-40,1,5,4,1.0,9620.0,17,1,Institutional Residents
129,0,18-40,1,5,4,1.0,4140.0,17,0,Institutional Residents
130,0,18-40,1,5,4,1.0,4435.0,17,0,Institutional Residents
131,0,18-40,1,5,3,1.0,9640.0,16,1,Institutional Residents
132,1,18-40,1,3,4,1.0,6230.0,16,1,Institutional Residents
133,1,18-40,0,5,3,4.0,8140.0,17,1,Institutional Residents
134,0,40-60,1,5,2,1.0,8710.0,17,0,Institutional Residents
136,0,18-40,1,5,4,1.0,4055.0,17,0,Institutional Residents
137,0,40-60,1,3,3,3.0,5240.0,17,1,Institutional Residents
138,0,18-40,1,5,4,1.0,4110.0,17,0,Institutional Residents
139,0,18-40,1,5,4,1.0,51.0,17,0,Institutional Residents
140,0,18-40,1,5,4,3.0,3960.0,17,0,Institutional Residents
141,0,18-40,0,5,4,1.0,2545.0,17,1,Institutional Residents
142,0,18-40,1,5,4,1.0,4020.0,17,0,Institutional Residents
143,0,18-40,1,5,3,1.0,5860.0,17,0,Institutional Residents
145,0,18-40,1,5,3,1.0,8710.0,16,1,Institutional Residents
146,0,18-40,1,5,4,1.0,4655.0,17,0,Institutional Residents
149,0,18-40,1,5,4,1.0,2545.0,17,0,Institutional Residents
150,0,18-40,0,5,4,1.0,4110.0,17,0,Institutional Residents
154,0,18-40,1,5,4,1.0,9610.0,16,1,Institutional Residents
157,0,18-40,1,5,3,1.0,8710.0,17,1,Institutional Residents
160,0,18-40,1,5,4,1.0,2440.0,17,1,Institutional Residents
164,0,18-40,1,5,3,1.0,4750.0,16,0,Institutional Residents
166,0,18-40,1,5,4,1.0,4110.0,17,0,Institutional Residents
168,0,40-60,1,1,4,1.0,5610.0,16,0,Institutional Residents
170,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
171,0,18-40,0,5,4,1.0,5740.0,17,0,Institutional Residents
172,0,18-40,1,5,4,1.0,2722.0,17,1,Institutional Residents
173,0,18-40,1,5,4,1.0,4230.0,17,0,Institutional Residents
174,0,18-40,0,5,4,1.0,3603.0,17,0,Institutional Residents
175,0,40-60,1,3,3,3.0,5240.0,17,1,Institutional Residents
179,0,18-40,0,5,3,1.0,4850.0,17,0,Institutional Residents
181,0,18-40,1,5,4,1.0,5300.0,17,0,Institutional Residents
183,0,18-40,1,1,6,4.0,440.0,17,1,Institutional Residents
185,0,18-40,1,5,4,2.0,4220.0,17,1,Institutional Residents
186,0,18-40,1,5,4,1.0,6260.0,17,1,Institutional Residents
187,0,18-40,1,5,4,1.0,7200.0,17,1,Institutional Residents
190,0,40-60,1,3,4,1.0,4621.0,16,1,Institutional Residents
191,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
192,0,18-40,1,5,4,1.0,3603.0,17,0,Institutional Residents
195,0,18-40,0,1,4,2.0,4220.0,17,1,Institutional Residents
196,0,18-40,1,5,4,1.0,4710.0,17,1,Institutional Residents
198,0,18-40,1,5,3,1.0,5860.0,17,0,Institutional Residents
199,0,18-40,1,5,6,1.0,2001.0,17,0,Institutional Residents
202,0,18-40,0,5,4,1.0,5740.0,17,0,Institutional Residents
204,0,18-40,1,5,4,1.0,4655.0,17,0,Institutional Residents
205,0,18-40,1,3,5,1.0,5240.0,17,0,Institutional Residents
206,0,18-40,1,5,4,1.0,4655.0,17,0,Institutional Residents
208,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
209,0,18-40,1,5,4,2.0,2205.0,17,1,Institutional Residents
212,0,18-40,1,5,4,1.0,1108.0,17,0,Institutional Residents
213,0,60-80,1,3,3,1.0,8710.0,17,0,Institutional Residents
218,0,18-40,1,5,4,1.0,6260.0,17,1,Institutional Residents
222,0,40-60,1,1,5,1.0,600.0,16,0,Institutional Residents
